State name,Literate,Population,Male,Female,Literacy_Rate,Sex_Ratio
ANDAMAN AND NICOBAR ISLANDS,294281,380581,202871,177710,77.32414387475991,875.9753735132177
ANDHRA PRADESH,50556760,84580777,42442146,42138631,59.77334542575791,992.8487357825875
ARUNACHAL PRADESH,766005,1383727,713912,669815,55.35810170647822,938.2318829211443
ASSAM,19177977,31205576,15939443,15266133,61.45689155040753,957.7582478885868
BIHAR,52504553,104099452,54278157,49821295,50.43691584466746,917.8884795222505
CHANDIGARH,805438,1055450,580663,474787,76.31228385996495,817.6636017793454
CHHATTISGARH,15379922,25545198,12832895,12712303,60.20670499402666,990.6028998133313
DADRA AND NAGAR HAVELI,223230,343709,193760,149949,64.94738281511395,773.8903798513626
DAMAN AND DIU,188406,243247,150301,92946,77.45460375667531,618.3990791811099
GOA,1165487,1458545,739140,719405,79.9075105670377,973.3000514110994
GUJARAT,41093358,60439692,31491260,28948432,67.99068069374013,919.2528974705998
HARYANA,16598988,25351462,13494734,11856728,65.47546646422207,878.6188745921186
HIMACHAL PRADESH,5039736,6864602,3481873,3382729,73.41628837330991,971.5256702355313
JAMMU AND KASHMIR,7067233,12541302,6640662,5900640,56.351669069128555,888.5620138474146
JHARKHAND,18328069,32988134,16930315,16057819,55.55958090869887,948.4654597389357
KARNATAKA,40647322,61095297,30966657,30128640,66.5310162908284,972.9380862777665
KERALA,28135824,33406061,16027412,17378649,84.2237101824127,1084.3078720382305
LAKSHADWEEP,52553,64473,33123,31350,81.51164053169543,946.4722398333483
MADHYA PRADESH,42851169,72626809,37612306,35014503,59.00186114469107,930.9320997228939
MAHARASHTRA,81554290,112374333,58243056,54131277,72.5737700262924,929.403103436056
MANIPUR,1908476,2855794,1438586,1417208,66.8282095977511,985.1395745544584
MEGHALAYA,1785005,2966889,1491832,1475057,60.16419893025995,988.7554362689632
MIZORAM,848175,1097206,555339,541867,77.30316822912015,975.740943819901
NAGALAND,1342434,1978502,1024649,953853,67.85103072930934,930.9070715923209
NCT OF DELHI,12737767,16787941,8987326,7800615,75.87450420513153,867.9572767250237
ORISSA,26742595,41974218,21212136,20762082,63.71195527692738,978.7831833625808
PONDICHERRY,957309,1247953,612511,635442,76.71034085418282,1037.437694996498
PUNJAB,18707137,27743338,14639465,13103873,67.42929419668246,895.1060028491479
RAJASTHAN,38275282,68548437,35550997,32997440,55.8368413272501,928.1720003520576
SIKKIM,444952,610577,323070,287507,72.8740191654779,889.9216887980933
TAMIL NADU,51837507,72147030,36137975,36009055,71.84981419193555,996.4325615920649
TRIPURA,2804783,3673917,1874376,1799541,76.34312370148808,960.0747128644413
UTTAR PRADESH,114397555,199812341,104480510,95331831,57.252497231890196,912.4365013149343
UTTARAKHAND,6880953,10086292,5137773,4948519,68.22083873835896,963.1641958490576
WEST BENGAL,61538281,91276115,46809027,44467088,67.41991702867722,949.9682187369542
